,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
2882,Female,0,No,No,11,Yes,No,No,No,No,Yes,Yes,Month-to-month,64.9,716.1,0
3028,Male,0,No,No,5,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,43.25,219.0,1
3686,Female,0,No,No,13,Yes,No,No,No,No,No,No,Month-to-month,75.0,999.45,1
2385,Female,0,No,Yes,3,No,No,Yes,No,No,No,No,Month-to-month,29.65,90.05,0
958,Male,0,No,No,25,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,81.75,2028.8,0
1436,Female,0,No,No,2,Yes,No,No,Yes,No,Yes,No,Month-to-month,91.4,193.6,1
5714,Female,0,Yes,Yes,4,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,97.95,384.5,1
5772,Male,0,Yes,Yes,69,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,81.95,5601.4,0
397,Female,0,No,No,34,Yes,No,Yes,No,No,No,No,Month-to-month,73.95,2524.45,1
6312,Male,0,No,No,54,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,105.4,5643.4,1
890,Male,0,Yes,Yes,31,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,89.3,2823.0,0
1314,Female,0,Yes,Yes,39,Yes,No,Yes,Yes,Yes,No,No,One year,89.55,3474.45,1
2894,Female,0,No,No,48,Yes,Yes,No,Yes,Yes,No,No,One year,60.35,2896.4,1
6908,Male,0,No,Yes,9,Yes,No,No,No,No,Yes,No,Month-to-month,55.35,449.75,1
4569,Female,0,No,No,22,Yes,Yes,No,No,No,No,No,Month-to-month,48.8,1054.6,1
3348,Female,1,No,No,71,Yes,No,Yes,Yes,No,Yes,Yes,One year,105.9,7521.95,0
822,Male,0,No,No,47,Yes,No,Yes,Yes,No,Yes,Yes,One year,103.1,4889.3,0
3378,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,84.45,6033.1,0
4706,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,44.45,44.45,1
1900,Male,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.9,76.65,0
4777,Female,0,No,Yes,2,Yes,No,Yes,No,No,No,No,Month-to-month,51.55,106.2,0
3917,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.1,69.1,1
2394,Male,0,No,No,71,Yes,No,Yes,No,No,No,No,One year,79.05,5552.5,0
6399,Female,0,No,No,55,Yes,No,No,No,No,No,No,Month-to-month,73.1,4144.9,0
5004,Female,0,Yes,No,64,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,111.15,6953.4,0
2280,Female,1,No,No,8,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,100.15,908.55,0
1366,Male,0,Yes,No,10,Yes,No,No,No,No,Yes,No,Month-to-month,85.6,813.85,1
6521,Female,0,Yes,Yes,18,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.1,428.45,0
6853,Female,0,No,No,54,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,111.1,6014.85,1
1,Male,0,No,No,34,Yes,Yes,No,Yes,No,No,No,One year,56.95,1889.5,0
1630,Male,1,Yes,No,38,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,102.6,4009.2,0
3721,Female,0,No,No,2,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.65,38.7,1
2802,Male,1,Yes,No,32,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,104.9,3351.55,1
3350,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,44.15,44.15,1
1687,Male,0,Yes,Yes,12,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,26.4,314.95,0
3494,Female,0,Yes,Yes,9,Yes,No,No,No,No,Yes,No,Month-to-month,85.35,754.65,1
5891,Male,0,No,No,11,No,No,No,Yes,No,Yes,No,One year,41.6,470.6,1
6669,Female,1,No,No,35,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,99.05,3554.6,0
4842,Male,1,No,No,9,Yes,Yes,No,No,No,No,No,Month-to-month,54.55,494.05,1
4114,Female,0,Yes,Yes,51,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.95,1028.75,0
1823,Male,0,No,No,19,Yes,No,Yes,No,No,No,No,Month-to-month,73.85,1424.5,1
479,Female,0,No,Yes,15,Yes,No,No,No,No,No,No,Month-to-month,69.0,994.8,1
2337,Female,1,No,No,56,Yes,No,Yes,Yes,No,Yes,Yes,One year,104.75,5510.65,1
127,Male,0,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.55,1723.95,0
2482,Female,0,Yes,No,2,Yes,No,No,No,No,No,No,Month-to-month,45.0,89.75,0
1100,Male,0,No,Yes,15,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,24.8,324.15,0
4654,Female,0,Yes,Yes,42,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.05,761.85,0
1058,Male,0,Yes,Yes,2,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.55,185.55,1
3133,Male,0,Yes,No,70,No,No,Yes,Yes,Yes,No,Yes,One year,51.05,3635.15,0
517,Female,1,Yes,No,5,Yes,No,No,No,No,No,No,Month-to-month,70.05,302.6,0
893,Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,24.6,24.6,1
5396,Female,0,No,Yes,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.1,644.5,0
2696,Female,0,No,No,68,No,Yes,No,Yes,Yes,No,No,Two year,38.9,2719.2,0
2626,Female,0,Yes,No,60,No,Yes,Yes,Yes,No,No,Yes,One year,50.05,2911.5,0
2682,Male,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,50.4,206.6,1
837,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,44.4,44.4,1
3286,Male,1,No,No,35,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.45,3474.05,1
4344,Female,0,No,No,68,Yes,No,Yes,Yes,No,Yes,Yes,Two year,80.65,5330.2,0
1396,Female,0,No,No,64,Yes,No,No,Yes,No,Yes,Yes,One year,100.05,6254.2,1
6724,Female,1,No,No,64,Yes,Yes,Yes,No,Yes,Yes,No,Two year,70.2,4481.0,1
671,Male,0,Yes,Yes,53,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.55,1336.1,0
6548,Male,0,Yes,Yes,31,Yes,No,No,Yes,Yes,No,No,Month-to-month,54.35,1647.0,0
5132,Male,0,Yes,Yes,71,Yes,Yes,No,No,No,Yes,No,One year,66.2,4692.55,0
4074,Male,1,Yes,No,58,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,98.7,5812.6,1
3678,Male,0,Yes,Yes,16,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,84.9,1398.25,0
5,Female,0,No,No,8,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,99.65,820.5,1
3617,Female,1,Yes,No,18,No,No,No,Yes,No,Yes,Yes,Month-to-month,48.35,810.7,1
2180,Male,1,Yes,No,71,Yes,No,Yes,Yes,Yes,No,Yes,Two year,95.5,6707.15,0
1426,Male,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,No,No,One year,92.0,6585.2,0
2936,Male,0,No,No,40,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,102.65,4108.15,0
4375,Male,0,No,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,114.3,7383.7,0
3516,Male,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,43.3,123.65,1
5624,Male,1,Yes,No,62,Yes,No,Yes,No,No,No,Yes,Month-to-month,89.8,5629.55,0
2077,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,71.35,71.35,1
5401,Male,0,No,No,31,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.45,638.55,0
4693,Male,0,No,Yes,52,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.6,1334.5,0
4653,Female,0,Yes,Yes,30,No,No,No,No,Yes,Yes,Yes,Month-to-month,51.2,1561.5,1
1965,Male,0,No,No,24,Yes,Yes,No,No,No,No,No,Month-to-month,49.55,1210.4,1
3098,Male,1,Yes,No,30,Yes,No,Yes,Yes,No,No,No,Month-to-month,79.65,2365.15,1
4408,Female,0,Yes,Yes,72,Yes,Yes,No,Yes,No,Yes,No,Two year,71.45,5025.85,0
976,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.9,69.9,1
2448,Female,1,No,No,14,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,104.85,1531.4,1
6039,Male,1,Yes,No,27,No,No,No,No,No,No,Yes,Month-to-month,36.5,1032.0,1
1894,Female,0,Yes,No,46,No,No,No,No,No,Yes,Yes,Month-to-month,43.95,2007.85,0
4829,Female,0,No,No,12,Yes,No,No,No,No,No,No,Month-to-month,45.0,524.35,0
6378,Male,0,Yes,Yes,13,Yes,Yes,No,No,No,No,Yes,Month-to-month,84.05,1095.3,1
4360,Male,1,Yes,No,31,Yes,Yes,No,No,No,Yes,No,Month-to-month,89.45,2807.65,0
3596,Female,0,No,No,3,Yes,Yes,Yes,No,No,No,No,Month-to-month,55.35,165.2,1
3146,Female,0,Yes,Yes,5,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,99.15,465.05,1
2206,Male,1,Yes,No,57,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,95.25,5427.05,1
5112,Female,0,No,No,7,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.05,164.85,1
5636,Male,0,Yes,No,14,No,No,No,No,No,Yes,Yes,Month-to-month,46.35,667.7,1
789,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,No,Two year,69.65,4908.25,0
6091,Male,1,Yes,No,2,Yes,No,No,No,No,Yes,No,Month-to-month,86.85,156.35,1
4632,Female,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,1
3423,Male,0,No,Yes,1,Yes,Yes,No,No,No,No,No,Month-to-month,50.6,50.6,1
1132,Female,1,Yes,No,11,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,104.05,1133.65,1
5821,Female,0,Yes,No,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,26.3,1763.55,0
541,Female,0,No,No,11,Yes,No,No,No,No,No,Yes,Month-to-month,58.95,601.6,0
94,Male,0,No,No,72,Yes,No,Yes,Yes,No,Yes,Yes,Two year,100.9,7459.05,0
5129,Female,0,No,No,13,Yes,No,No,No,No,Yes,No,Month-to-month,81.9,1028.9,0
3504,Male,0,Yes,Yes,68,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.95,1377.7,0
2639,Male,0,No,No,22,Yes,Yes,No,No,No,No,No,Month-to-month,54.45,1127.35,1
1561,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,74.95,74.95,1
6313,Male,0,No,No,2,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,95.85,197.7,1
1956,Female,0,No,No,72,Yes,Yes,Yes,Yes,No,Yes,No,Two year,101.3,7261.25,0
4357,Female,0,Yes,No,15,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.45,330.8,0
6922,Male,0,No,No,3,Yes,No,Yes,No,No,No,No,Month-to-month,74.45,221.1,0
4900,Male,1,Yes,No,37,Yes,No,No,No,No,Yes,No,Month-to-month,85.7,3171.15,1
131,Female,0,Yes,Yes,25,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,58.6,1502.65,1
4438,Male,0,Yes,Yes,51,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.95,1222.25,0
1394,Female,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,110.8,6840.95,0
5294,Female,0,Yes,Yes,53,Yes,Yes,Yes,Yes,Yes,No,Yes,Two year,104.05,5566.4,0
1488,Male,0,No,No,1,Yes,Yes,No,No,No,No,No,Month-to-month,51.25,51.25,0
5286,Male,0,Yes,No,8,Yes,Yes,No,No,No,No,No,Month-to-month,74.5,609.9,1
4527,Female,0,No,No,39,Yes,No,No,Yes,Yes,No,No,Two year,80.45,3201.55,1
6100,Female,1,Yes,No,29,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,99.05,2952.85,1
785,Female,1,No,No,46,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,110.0,4874.8,1
705,Female,0,No,No,25,Yes,Yes,Yes,No,No,No,No,Month-to-month,79.85,2015.35,1
5850,Male,1,No,No,20,Yes,No,No,No,No,No,No,Month-to-month,71.3,1389.2,1
6894,Male,1,Yes,No,3,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,105.9,334.65,1
3980,Male,0,No,No,28,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,105.7,2979.5,1
4719,Male,0,No,No,36,Yes,No,No,No,No,No,Yes,Month-to-month,84.9,3067.2,1
6017,Male,0,No,No,5,Yes,No,No,Yes,Yes,No,No,Month-to-month,56.15,291.45,0
2967,Male,0,Yes,No,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,113.75,6561.25,0
6333,Female,1,No,No,60,Yes,No,No,Yes,Yes,Yes,Yes,One year,106.0,6441.4,1
4539,Male,0,Yes,Yes,67,Yes,Yes,No,Yes,No,Yes,Yes,Two year,79.7,5293.4,1
2642,Female,0,Yes,No,47,Yes,No,No,Yes,No,No,Yes,Month-to-month,85.3,4045.65,1
1984,Female,0,Yes,Yes,14,Yes,No,Yes,No,No,No,Yes,Month-to-month,90.9,1259.0,1
2758,Male,0,No,No,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.25,109.8,0
3172,Male,0,No,Yes,25,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,95.9,2448.75,1
4908,Female,1,No,No,28,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,106.15,3152.5,1
1438,Female,0,No,No,40,Yes,No,No,Yes,No,No,No,One year,50.25,2023.55,0
5125,Female,0,Yes,No,11,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.0,1078.9,1
3326,Male,1,No,No,38,Yes,No,Yes,Yes,Yes,Yes,No,One year,70.15,2497.35,1
2419,Female,0,No,No,11,Yes,No,No,Yes,Yes,No,No,One year,53.8,651.55,0
4485,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,91.7,6075.9,0
260,Male,1,No,No,3,No,No,No,Yes,No,No,Yes,Month-to-month,41.15,132.2,1
1491,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.55,19.55,0
911,Female,1,No,No,15,Yes,No,Yes,No,No,Yes,No,Month-to-month,89.0,1288.3,0
6193,Female,0,No,Yes,13,Yes,No,Yes,Yes,No,Yes,Yes,One year,104.15,1299.1,0
1685,Male,1,Yes,No,27,Yes,No,No,No,No,No,No,Month-to-month,70.55,1943.9,0
5556,Male,0,No,No,13,Yes,No,Yes,Yes,No,No,No,Month-to-month,79.8,973.45,1
3691,Female,0,Yes,No,40,Yes,No,Yes,No,No,Yes,No,One year,63.9,2635.0,0
5333,Female,0,Yes,Yes,13,Yes,No,No,No,No,Yes,Yes,Month-to-month,88.35,1222.8,1
2326,Female,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,109.15,7789.6,0
1473,Female,0,No,No,24,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,98.75,2407.3,1
3327,Male,0,Yes,No,66,Yes,No,Yes,Yes,No,No,Yes,One year,95.3,6273.4,0
3349,Female,0,Yes,No,11,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,99.5,1056.95,1
6619,Female,0,No,No,9,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,238.15,0
3031,Female,1,Yes,No,50,Yes,No,No,No,No,No,No,Month-to-month,71.05,3444.85,1
4337,Female,1,No,No,71,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,99.65,6951.15,0
5935,Male,1,No,No,13,Yes,No,Yes,No,No,Yes,No,Month-to-month,59.9,788.35,0
5337,Male,0,No,No,20,Yes,No,No,No,Yes,No,No,Month-to-month,50.0,1003.05,0
6716,Female,0,Yes,No,3,Yes,No,No,No,No,No,No,Month-to-month,74.1,228.0,1
5304,Male,1,Yes,No,13,Yes,No,No,No,No,No,No,Month-to-month,70.45,849.1,0
4947,Male,0,No,No,26,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,98.35,2515.3,1
3357,Female,0,No,Yes,1,Yes,No,No,Yes,No,No,Yes,Month-to-month,59.2,59.2,1
6971,Female,1,Yes,No,18,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,99.75,1836.25,1
1878,Male,0,No,No,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.75,67.1,0
3630,Female,0,No,No,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.95,85.5,1
5428,Female,0,Yes,No,9,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.45,853.1,1
6219,Female,1,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.7,25.7,1
6674,Male,0,No,No,7,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,23.5,173.0,0
2184,Female,1,No,No,2,Yes,No,No,Yes,No,No,Yes,Month-to-month,88.55,179.25,1
6618,Male,0,No,No,26,Yes,Yes,Yes,No,No,No,No,Month-to-month,86.65,2208.75,0
42,Female,0,Yes,Yes,17,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.75,418.25,0
3950,Male,1,No,No,49,Yes,No,No,No,No,Yes,Yes,Month-to-month,96.2,4718.25,1
6348,Female,0,No,No,26,Yes,No,No,No,No,No,No,Month-to-month,69.05,1815.65,0
3971,Female,0,No,No,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.75,692.1,1
4893,Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,44.65,74.9,1
1869,Male,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.1,1734.65,0
6496,Male,1,Yes,No,40,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,101.85,4086.3,1
6734,Male,0,No,No,12,Yes,No,No,No,Yes,No,No,Month-to-month,50.25,593.75,1
6409,Male,0,Yes,Yes,43,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.2,776.25,0
5427,Female,0,No,No,31,Yes,Yes,No,Yes,No,No,No,Month-to-month,84.75,2613.4,0
3668,Male,0,Yes,No,22,Yes,Yes,No,No,No,Yes,No,One year,59.75,1374.35,0
3026,Female,0,Yes,No,16,Yes,No,No,No,No,Yes,No,Month-to-month,84.95,1378.25,1
5638,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,19.95,1
2907,Male,0,Yes,No,20,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.0,1820.45,1
3499,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.9,20.9,1
3711,Female,0,Yes,Yes,55,Yes,Yes,Yes,No,Yes,No,Yes,One year,75.75,4264.25,0
6670,Female,0,Yes,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,Two year,73.35,,0
1199,Female,0,Yes,No,17,Yes,Yes,No,No,No,No,No,Month-to-month,78.9,1348.95,0
318,Male,1,Yes,No,24,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,93.15,2231.05,1
2393,Female,0,Yes,Yes,33,Yes,Yes,No,Yes,No,Yes,Yes,One year,103.7,3467.0,1
3921,Female,0,Yes,No,24,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,66.3,1559.45,0
3477,Female,0,No,No,18,Yes,No,No,No,No,No,No,Month-to-month,74.15,1345.75,0
1676,Female,0,No,No,4,Yes,Yes,No,No,No,No,No,Month-to-month,80.15,319.85,0
2784,Female,0,No,Yes,4,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,98.1,396.3,1
6453,Male,1,Yes,No,47,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,100.05,4871.05,1
1102,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,No,No,No,Month-to-month,56.15,168.15,1
6397,Male,1,No,No,54,Yes,No,No,Yes,Yes,No,Yes,One year,65.25,3529.95,0
2413,Male,0,Yes,Yes,7,No,Yes,No,Yes,Yes,No,Yes,Two year,49.65,305.55,0
6875,Female,0,Yes,No,64,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.45,1208.6,0
5147,Male,0,No,No,28,No,No,No,No,Yes,No,No,Month-to-month,30.1,810.85,0
5481,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,73.65,73.65,1
5256,Male,0,Yes,Yes,52,Yes,No,No,Yes,Yes,No,Yes,Two year,96.25,4990.25,1
2427,Male,0,No,No,1,No,No,No,No,No,No,Yes,Month-to-month,35.9,35.9,1
590,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,111.9,8071.05,0
2054,Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,49.4,106.55,1
2380,Male,0,Yes,Yes,60,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,103.75,5969.95,0
2718,Male,0,No,No,62,No,Yes,Yes,Yes,Yes,No,No,Two year,43.7,2618.3,0
5738,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.6,20.6,1
299,Female,0,No,Yes,1,Yes,Yes,No,No,No,No,No,Month-to-month,73.6,73.6,1
2091,Female,0,No,Yes,50,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,970.85,0
1324,Female,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,76.35,1
628,Female,1,No,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,111.65,7943.45,0
4773,Male,0,No,No,44,No,No,Yes,Yes,No,Yes,Yes,One year,53.95,2375.4,1
764,Male,0,Yes,Yes,65,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.9,1292.6,0
6910,Male,0,No,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,114.6,7882.5,0
3208,Male,0,Yes,No,48,Yes,No,Yes,Yes,No,No,Yes,One year,70.55,3420.5,0
1373,Male,0,No,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.85,19.85,0
3495,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,75.35,75.35,1
5967,Male,1,No,No,4,No,No,No,No,No,No,No,Month-to-month,25.2,102.5,1
4054,Female,1,No,No,34,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,56.25,1765.95,0
5741,Male,0,No,No,19,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,99.95,1931.75,1
4128,Male,0,No,No,57,No,No,Yes,No,No,Yes,No,Month-to-month,39.3,2111.45,1
321,Female,0,Yes,Yes,72,No,No,Yes,Yes,Yes,Yes,Yes,Two year,60.0,4264.0,0
4545,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,44.15,44.15,0
4230,Male,0,No,No,11,Yes,Yes,No,No,No,No,No,Month-to-month,73.5,791.75,1
1891,Female,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.1,45.1,1
3138,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.3,45.3,1
609,Female,1,Yes,No,65,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,105.25,6786.4,1
4942,Male,0,Yes,Yes,4,Yes,No,No,No,No,No,No,Month-to-month,50.9,225.6,1
2636,Female,1,Yes,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,113.0,7987.6,0
6305,Female,1,No,No,26,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,95.0,2497.2,1
2443,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,109.55,7887.25,0
2607,Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.75,69.75,1
3427,Female,0,Yes,No,21,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.3,1948.35,0
3542,Male,0,Yes,Yes,29,No,Yes,Yes,Yes,Yes,No,Yes,One year,55.35,1636.95,0
4723,Male,0,No,No,1,Yes,No,Yes,No,No,No,No,Month-to-month,74.35,74.35,1
6866,Male,0,No,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.45,95.45,1
4459,Female,0,No,No,1,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,100.25,100.25,1
579,Male,0,No,No,2,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.65,38.8,0
6417,Female,1,Yes,No,51,Yes,Yes,No,No,No,No,No,Month-to-month,77.5,3807.35,1
6679,Female,0,Yes,No,60,No,Yes,Yes,No,Yes,No,No,Two year,37.7,2288.7,0
892,Male,1,No,No,32,Yes,No,No,Yes,No,No,No,Month-to-month,81.1,2619.25,0
3623,Male,1,Yes,No,37,Yes,No,No,No,No,No,No,Month-to-month,72.25,2575.45,0
2712,Male,0,No,No,8,No,Yes,No,No,No,No,No,Month-to-month,29.35,216.45,0
765,Female,0,No,No,11,No,No,No,No,No,Yes,No,Month-to-month,35.8,363.15,0
6145,Female,0,Yes,Yes,67,No,Yes,Yes,Yes,Yes,Yes,No,Two year,54.2,3623.95,0
5496,Male,0,Yes,Yes,43,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.25,1077.95,0
1430,Female,0,No,No,23,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,24.8,615.35,0
4280,Male,0,Yes,Yes,64,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.7,1274.05,0
828,Male,0,Yes,Yes,60,Yes,No,Yes,Yes,No,Yes,No,One year,90.95,5453.4,1
2973,Female,0,Yes,Yes,62,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,100.15,6283.3,1
1600,Male,1,No,No,1,Yes,No,No,Yes,No,Yes,No,Month-to-month,88.8,88.8,1
3152,Female,0,No,No,26,Yes,Yes,No,Yes,Yes,No,Yes,One year,95.85,2475.35,0
193,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,109.7,8129.3,0
2117,Female,0,Yes,Yes,72,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,64.45,4528.0,0
2189,Male,0,Yes,Yes,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.45,1718.2,0
122,Male,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,74.4,229.55,1
4638,Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,75.55,166.3,1
7036,Female,0,No,No,12,No,No,Yes,Yes,Yes,Yes,Yes,One year,60.65,743.3,0
2353,Male,0,No,No,3,Yes,No,No,No,No,No,Yes,Month-to-month,80.35,253.8,0
